taxon_name,description
Corymbosa Group,"Shrubs, without corky bark. Leaves simple, initially flat, often becoming concave about stem and inflorescences, non-petiolate, not stem-clasping, entire or toothed; venation longitudinal or (H. victoria ) palmate and reticulate. Inflorescence an axillary corymbose umbelliform raceme, not resprouting in subsequent years, developing within involucre; bracts persisting at base of inflorescence; rachis knob-like. Flowers 12-56; pedicels glabrous. Perianth curved in bud, only splitting to base abaxially (except in H. cinerea which splits into 4 distinct tepals), glabrous. Pistil 22-37 mm long; pollen presenter erect, conical; gland obovoid or U-shaped. Fruit 1-5 per axil, erect, retained on plant, woody, smooth, pusticulate or fissured, sometimes becoming corky, not or shortly beaked, not horned, sometimes shortly apiculate, dehiscing fully down both sides. Seed occupying part of valve; wing extending down both sides of seed body."
Acacia pachypoda,"Spreading much-branched glabrous shrub, to 0.7 m high. Bark light grey. Branchlets rigid, terete, not ribbed, coarsely pungent. Phyllodes mostly ±patent, terete, 7-26 mm long, c. 1 mm diam., prominently dilated at the sessile base, pungent, rigid, green, nerveless. Inflorescences mostly 2- or 3-headed rudimentary racemes with axes c. 1 mm long, enclosed by conspicuous imbricate brown bracts when young, growing out at anthesis; peduncles 5-7 mm long; heads globular, c. 8-flowered, cream; bracteoles absent. Flowers 5-merous; sepals irregularly united almost to the apices into a cupular calyx, minute; petals linear to spathulate, c. 0.2 mm wide. Pods linear, subterete, to 5 cm long, 2-3 mm wide, crustaceous, dark brown. Seeds longitudinal, oblong, 3.5-4 mm long, dark brown; aril terminal, white."
Owenia cepiodora,"Tree to 30 m tall with bole to 60 cm diam.; bark brown, vertically fissured with gum from slash turning red on exposure; inner bark onion-scented; leafy shoots 8-10 mm diam., older ones cicatrose. Leaves 30-40 cm long, 6-9-jugate, with terminal process; petiole 5-10 cm. Leaflets opposite to alternate, narrowly elliptic or ovate, 7-15 cm long, 1.5-3.5 cm wide, asymmetric at base, acuminate at apex, glabrous, shining adaxially, garlic-scented when young; venation prominent abaxially. Thyrses 10-22 cm long. Sepals orbicular, c. 2 mm long. Petals oblong-lanceolate, c. 3-4 mm long, white. Drupe 15-20 mm diam., red."
Melicope vitiflora,"Tree to 40 m high. Trichomes simple. Leaves trifoliolate (occasional leaves simple); petiole 3-16 cm long; terminal leaflet with petiolule 2-30 mm long; terminal lamina elliptic to obovate, 9-20 cm long, 3.5-9 cm wide, acute to attenuate at base, acute to acuminate at apex. Inflorescences axillary, 6-20 cm long. Flowers bisexual, male, or female; plants monoclinous or dioecious. Sepals basally connate, ovate-triangular, 0.6-1 mm long. Petals 1.5-3 mm long, green to white or cream, abaxially nearly glabrous to pubescent, adaxially pubescent at least in proximal ¼ and plane or longitudinally 1-ridged, deciduous in fruit. Stamens 4; filaments pilose or sparsely so, especially adaxially in proximal ½-…”; anthers in bisexual and male flowers 1-1.2 mm long (0.5-0.6 mm long in female flowers). Disc glabrous or rarely sparsely pubescent. Gynoecium in female and bisexual flowers subapocarpous, 1-2 mm long (c. 0.6 mm long in male flowers); ovary pubescent or sparsely so or villous; ovules 1 or 2 per locule; style 0.6-1.5 mm long, pubescent at base; stigma capitate, 4-lobed, 0.5-0.6 mm wide. Fruit of 1-4 follicles 5-7 mm long, not beaked; exocarp subwoody; endocarp glabrous, separate. Seed attachment Type A; seeds ellipsoid to lenticular, 4-5.5 mm long; raphe of seeds ± straight or gently curved."
Caladenia alpina,"Leaf lanceolate, 120-220 x  8-15 mm, thick, fleshy, base sometimes reddish. Flower stem 150-300 mm tall, often reddish, 1-4-flowered. Flowers 30-35 x  30-35 mm, with light musky scent, white, externally pink or dark red, labellum white with prominent red bars and yellow calli, midlobe yellow, column whitish with red bars. Dorsal sepal 9-13 x  5-8 mm. Lateral sepals 9-15 x  4-6 mm, divergent. Petals 9-13 x  3-5 mm. Labellum incurved, broad, 5-8 x  4-6.5 mm; lateral lobes entire or wavy; midlobe recurved with short, dark-headed marginal teeth. Basal calli 4, c. 1.3 mm long; lamina calli c. 1.2 mm long, in 4-6 irregular rows nearly to apex of midlobe. Column 7-8 x  2.8 mm."
Eucalyptus bancroftii,"Tree to 30 m. Bark smooth throughout, pink or orange to grey-brown. Juvenile leaves ovate, green, discolorous. Adult leaves lanceolate to broadly lanceolate, acute, thick; lamina 7.5-20 cm long, 1.5-4 cm wide, green; lateral veins at 30°-60°; intramarginal vein up to 2 mm from margin; petiole terete or channelled, 12-25 mm long. Umbels 7-flowered; peduncle angular, 5-20 mm long; pedicels 2-5 mm long. Buds cylindrical; operculum cylindrical, 7-12 mm long, 4-5 mm wide; hypanthium hemispherical, 3-4 mm long, 4-6 mm wide. Fruits hemispherical to subglobular, often angular or ribbed, 5-9 mm long and wide; disc broad, convex; valves 3 or 4. Seeds red-brown."
Banksia paludosa subsp. paludosa,"Shrub to 2 m, with lignotuber. Swamp Banksia."
Velleia perfoliata,"Perennial herb, glabrous; stock short; scapes erect, to 50 cm long. Leaves elliptic to oblanceolate, dentate; lamina 10-25 cm long, 2.5-6 cm wide. Bracteoles connate into open funnel to 8 cm diam. Adaxial sepal broadly elliptic, 8 mm long. Corolla 10-12 mm long, pubescent outside, almost glabrous inside, without enations, yellow; wings ±to base of adaxial lobes, to 2 mm wide. Ovary with septum c. 1/4 as long as locule; ovules c. 10; indusium semi-orbicular, c. 3 mm wide. Capsule globular. Seeds orbicular, c. 3 mm wide, punctate."
Conospermum ephedroides,"Tufted, multistemmed shrub to 1 m tall. Leaves few, basal, terete, 4-18 cm long, 0.6-1 mm wide, incurved, acute, puberulous. Inflorescence of interrupted, sessile spikes along leafless branches; axis puberulous; bracteoles ovate, 2.5-4.5 mm long, 1.5-3 mm wide, bluish green; apex acute; sides and base velutinous. Perianth white, pale pink or blue, glabrous; tube 2.2-4.5 mm long, puberulous; upper lip ovate, 3-4.5 mm long, 1.2-2 mm wide, with an acute, recurved apex; lower lip united for 1-1.6 mm; lobes narrowly oblong, 2-3 mm long, 0.4-0.7 mm wide, with recurved, obtuse margins. Nut 1.5-2 mm long, 1.4-1.8 mm wide, reddish brown to orange, velutinous; circumference hairs 0.8-1.3 mm long, orange; central tuft c. 2 mm long, golden."
Cocos,"Solitary tall palms. Stems smooth, with annular leaf scars. Leaves paripinnate, marcescent; leaf sheath clasping, not forming a crownshaft. Pinnae reduplicate, linear-lanceolate, acute or bi-lobed. Inflorescence interfoliar, paniculate, branched to 1 order; bracts 2; prophyll moderate, tubular, persistent, within leaf bases; peduncular bract large, tubular, woody, with longitudinal grooves, attached near prophyll; peduncle short; rachillae stout, at first erect becoming pendulous in fruit. Flowers spirally arranged on rachillae, with triads in proximal portion, paired or solitary staminate flowers in distal portion. Staminate flowers asymmetric; sepals triangular; petals much longer than sepals, thick, leathery; stamens 6; filaments short; anthers medifixed, elongate. Pistillate flower globose, very large; sepals and petals rounded. Fruit very large, ellipsoid to ovoid, 3-angled; stigmatic remains apical; epicarp smooth; mesocarp thick, fibrous; endocarp thick, woody, with 3 basal operculate pores. Seed 1, very large; endosperm homogeneous, with central cavity filled with fluid; embryo basal. Eophyll simple."
Scaevola pulvinaris,"Prostrate shrub with much-branched, woody stems to 15 cm high, glabrous or with scattered hairs. Leaves sessile, linear, ±terete, thick; lamina 8-40 mm long, 0.7-2.0 mm wide; axillary hairs ±inconspicuous. Flowers in axillary or terminal spikes to 25 mm long; bracts leafy; bracteoles ovate, 6-9 mm long, ciliate on margin and midrib. Sepals rim-like, lobed, to 3 mm long. Corolla 6-11 mm long, stiffly white hairy outside, stiffly retrorse hairy inside, white or pale blue; barbulae prominent, papillate apically; wings to 1 mm wide. Ovary 1-locular except basally; indusium 0.7-1.2 mm long, ±glabrous. Fruit ellipsoidal, 2.5-3.5 mm long, ridged, otherwise smooth, pubescent, usually 1-seeded."
Pternandra coerulescens,"Medium tree to 15 m high. Leaves ovate, 3-veined, glabrous; lamina c. 7-10 cm long and 3.5-5 cm wide. Inflorescence axillary, paniculate, to 5-flowered. Hypanthium c. 3 mm long and 2.5 mm diam., covered with sometimes obscure tessellated plates, otherwise smooth and glabrous. Calyx lobes reduced to shallow teeth. Petals blue to light purple. Stamens: anthers ovate to dolabriform, 1.5-2 mm long; connective not prolonged, although thickened, dorsal appendage small to distinct. Fruit subglobose at maturity, c. 5 mm diam., yellow-green becoming black."
Eucalyptus bakeri,"Mallee to 6 m or tree to 12 m. Bark fibrous, grey-brown on trunk, and smooth, white, yellow or blue-green above. Juvenile leaves petiolate, linear or narrowly lanceolate. Adult leaves narrowly lanceolate; lamina 7.5-9 cm long, 0.7-1 cm wide, green or yellow-green; lateral veins faint, at 35°-45°; intramarginal vein almost confluent with margin; petiole terete, 2-10 mm long. Umbels 7-13-flowered; peduncle terete, 5-15 mm long; pedicels 1-3 mm long. Buds cylindrical or narrowly ovoid; operculum 4-6 mm long, 2-3 mm wide; hypanthium 2-3 mm long and wide. Fruits 3-4 mm long, 4-5 mm wide; disc level or slightly ascending."
Gonocarpus intricatus,"Erect herb 17-30 cm tall. Stems strongly 4-ribbed, sparsely strigose. Leaves decussate, becoming alternate near inflorescence, sessile, ovate to narrowly ovate, glabrous to sparsely strigose; lamina 1-1.3 cm long; margins slightly thickened, with 8-12 coarse teeth. Bracts alternate, linear-lanceolate, 1.5-2.2 mm long, entire, green; bracteoles ovate, 0.4-0.6 mm long, toothed, brown. Flowers 4-merous, nodding; pedicel 0.5-0.7 mm long. Sepals cordate, 0.5-0.6 mm long, acute; margins slightly thickened. Petals 1.4-1.6 mm long, yellowish red. Stamens 8; anthers 1.1-1.2 mm long. Ovary 8-ribbed, scabrous on ribs, dark red-purple. Fruit obovoid to oblong, 0.7 mm long, 8-ribbed, sparsely scabrous on ribs, silver-grey to purplish; pedicel 0.5-0.7 mm long."
Diplazium australe,"Rhizome erect, to 8 cm long, with dull dark brown to black scales. Fronds arcuate. Stipe 24-80 cm long, black and scaly at the base, deeply 3-grooved. Lamina 3-pinnate, 30-120 cm long, broadly triangular, 20-90 cm wide, membranous, brittle, dark green. Pinnules oblong, 5-25 mm long, 2-10 mm wide; base broadly attached to the axis; margins bluntly toothed or shallowly lobed less than half-way to the costule, decurrent on the lower side; apex obtuse. Sori 1-2 mm long, 3-5 per pinnule, mostly single; indusium pale brown, fragile. See also Green (1994: 598-599)."
Hovea clavata,"Shrub to 2 m tall; indumentum grey to tan-grey, the hairs coiled, crumpled or straightish. Leaves: stipules 1-2 mm long; petiole 2-4 mm long; lamina very narrow-elliptic, narrow-oblanceolate or lorate, 2.5-8 cm long, 4-8 mm wide, margin ± recurved, upper surface with slightly raised veins and hairs along midrib. Inflorescences mostly of 2 flowers, sessile; pedicel 1.5-2.5 mm long, bract at or near base; bract and bracteoles ovate to narrow-ovate, 1.5-2 mm long. Calyx 4.5-5.5 mm long, tube 2.5-2.8 mm long, upper lip 3-4 mm wide. Standard 9-10.5 mm long, flare greenish; wing 3.4-4.5 mm wide. Pod moderately hairy, sessile. Aril of seed 4 mm long, not expanded distally, hilum c. 3 mm long."
Acacia sedifolia subsp. pulvinata,"Phyllodes on raised stem-projections, 2-5 mm long, 0.8-1.5 mm wide, flat but thick; pulvinus 0.3-0.5 mm long. Peduncles 4-7 mm long. Seeds 4.5-5 mm long."
Cyatheaceae,"Tree ferns. Rhizome erect [often referred to as the truck] or (not in Australia) prostrate, or rarely epiphytic on rainforest trees, with vascular tissue forming a hollow cylinder perforated by leaf gaps, appearing (in T.S.) to have meristeles; inner sides supported by very dense sclerenchyma; base of rhizome covered with interwoven adventitious roots. Stipes in a tight spiral at rhizome apex (except C. robertsiana); bases or entire stipe covered by scales; adaxial surface with short, stiff hairs; lateral pneumathodes forming discontinuous lines on stipe and rachis. Lamina 2- or 3-pinnate, or rarely (not in Australia) 1-pinnate; lower pinnae variously reduced, never with elongate, basiscopic pinnules; a small pneumathode present at the base of each pinna; rachis with hairy adaxial surface and a rarely hairy, but variously scaly, abaxial surface; scales progressively smaller distally and on costae of pinnules; pinnules ± deeply lobed, or sometimes pinnate; veins pinnate in pinnule lobes, always free. Sori indusiate or exindusiate, on or near the veins, paraphysate; indusium either attached all around base of receptacle and covering young sorus, opening to form a firm-edged cup or opening by irregular rupture, or attached only on costular side of receptacle (hemitelioid condition) and of varying size, in some cases quite hidden by mature sorus; exindusiate species may have overlapping scales around base of receptacle, either covered by, or ± covering the sporangia; receptacle swollen; sporangia almost sessile, narrower towards base, with a complete, oblique annulus. Spores trilete, 16, 32 or 64 per sporangium; perispore spinulose or with radial ridges."
Rhadinothamnus rudis subsp. linearis,"Similar to subsp. amblycarpus but with the following differences: Leaves thick, linear, narrowing slightly towards base, c. 20 mm long, 1-1.5 mm wide, rounded at apex. Cocci ±truncate, minutely apiculate."
Hovea planifolia,"Shrub to 2.5 m tall; indumentum grey to tan-grey, red-brown at apices, the hairs somewhat spreading. Leaves: stipules 2-3.2 mm long; petiole 3-9 mm long; lamina very narrow-elliptic, lanceolate or lorate, 4-12 cm long, (5-) 9-25 mm wide, margin ± flat, upper surface ± smooth with scattered weak hairs. Inflorescences mostly of 3 flowers, peduncle 0.5-8 mm long; pedicel 2-3 mm long, bract at or near base of calyx; bract and bracteoles narrow-ovate to ovate, 2.4-3.5 mm long. Calyx 4-5.2 mm long, tube 2-3.5 mm long, upper lip c. 3 mm wide. Standard 8.6-9.5 mm long, flare green-yellow; wing 3.3-4.2 mm wide. Pod densely hairy, sessile or sub-sessile. Aril of seed c. 5 mm long, not expanded distally, hilum c. 4 mm long."
Doodia,"Terrestrial, occasionally lithophytic ferns. Rhizome, stipe and sometimes pinna midvein with abaxial, lanceolate to linear-lanceolate medium to dark brown or black scales; scales sometimes attached to tubercles which remain to give a rough texture if scales are shed. Young fronds occasionally red. Fronds monomorphic or dimorphic; fertile fronds usually erect with narrower more widely spaced pinnae than the often prostrate sterile fronds; pinna margin sharply toothed; texture chartaceous to harsh; veins forked, at least in fertile pinnae. Sori borne on anastomoses parallel to pinna midvein."
