"taxon_name","original_text","text","life_history_a","life_history_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f"
"Potamogeton sulcatus","Emergent herb; stem trailing; branches flattened, up to c. 3 m long. Leaf sheath free, up to 4 cm long, soon torn; ligule absent. Submerged leaves different from emergent ones. Submerged leaves thin and translucent, shortly petiolate; lamina lanceolate to elliptic, 6–12 cm long, 1.2–3.0 cm wide; base rounded to gradually tapered; margin flat or slightly undulate; apex acute to obtuse; 9–13 principal longitudinal veins, with finer transverse secondary veins; distal submerged leaves more like emergent leaves, but with petiole much longer than for emergent leaves. Emergent leaves floating, ± thick and leathery, petiolate; lamina ovate to elliptic, 4–8 cm long, 3.0–5.5 cm wide, dull; base rounded or cordate; apex obtuse; margin undulate, at least at base; 21–35 principal longitudinal veins, with transverse secondary veins indistinct. Inflorescence c. 20–60 flowered. Infructescence 3.2–5.0 cm long (excluding non-fruiting part of axis). Fruiting carpels 3.0–3.5 mm long (including dorsal point), dorsal surface with 3 well developed, crenulate ridges, distally with a ± curved point up to c. 1.2 mm long. Flowers and fruits Sep.–Apr."," emergent herb; ",,,"herb","herb",,,,,,
"Paspalidium aversum","Tufted perennial. Culms ascending or erect, to c. 90 cm high. Leaves glabrous; blade flat or nearly so, smooth to slightly scabrous, to 25 cm long, 3–9 mm wide; ligule c. 1 mm long. Panicle 8–30 cm long; branches mostly 1–5 cm long, remaining appressed to the glabrous main axis, uppermost spikelets of panicle arising singly from the axis. Spikelets c. 2.5 mm long; lower glume very broadly ovate to circular, c. 1.2 mm long, 3(5)-nerved, the nerves not distinctly connected toward the apex; upper glume broadly ovate, 5-nerved, slightly shorter than the spikelet; lower lemma 5-nerved, as long as the spikelet, its palea membranous, up to c. half as long as lemma, or lacking; upper lemma ovate, as long as or subequal to the spikelet, acute, hardened, finely transversely ridged for all but the apical part, margins pale, of similar texture to the body of the lemma, recurved, concealing less than half the palea width; palea subequal to lemma, hardened, minutely and irregularly transversely ridged."," tufted perennial. ","perennial","perennial",,,,,,,,
"Senecio cunninghamii var. cunninghamii","Erect or spreading shrub to 1.2 m high, glabrous (young growth sometimes minutely cobwebbed), usually somewhat glaucous. Leaves sessile, often shortly auriculate, narrow-lanceolate or linear, 3–15 cm long, 2–4(–7) mm wide, entire or obscurely toothed; margin usually revolute. Inflorescence corymbose, typically 2–8 cm across, with c. 6–30 capitula; capitula non-radiate; involucre cylindric, 4–6.5 mm long, glabrous; bracts 7 or 8; bracteoles present; florets 8–12, all bisexual. Cypselas cylindric or narrow-fusiform, 2–3 mm long, brown, broadly ribbed, papillose-hairy in intervening grooves; pappus of slender hairs c. 5 mm long, deciduous.  Flowers Oct.–Apr."," erect or spreading shrub to 1.2 m high, glabrous (young growth sometimes minutely cobwebbed), usually somewhat glaucous. ",,,"shrub","shrub",,,,,"erect spreading","erect spreading"
"Cotula australis","Ascending annual or short-lived perennial to 10 cm high; stems weakly rooting at nodes, branched, villous. Leaves obovate to oblanceolate in outline, usually 1–4 cm long and 7–10 mm wide, 1–2-pinnatisect, attenuate at base, sparsely to densely villous. Capitula 4–6 mm diam., terminal and axillary; peduncles 2–8 cm long, erect, filiform, exceeding the leaves, pubescent; involucral bracts many, oblong to lanceolate, 2–3 mm long, sparsely hairy to glabrous. Female florets 3- or 4-seriate, corolla absent; bisexual florets 15–25, corolla c. 0.5 mm long. Cypselas of female florets oblong, 1–1.5 mm long, flat, with a narrow thickened wing; cypselas of bisexual florets oblong, c. 1 mm long, plano-convex, smooth, wingless. Flowers mostly winter and spring."," ascending annual or shortlivedperennial to 10 cm high; ","annual short_lived_perennial","annual shortlivedperennial",,,,,,,"decumbent","ascending"
"Potentilla","Perennial, rarely annual or biennial herbs or small shrubs (not in Victoria), prostrate or erect. Leaves in basal rosettes, or cauline, or both, compound, palmate or pinnate; leaflets toothed to dissected; stipules fused to and lateral to petiole with auricles that do not meet at their bases. Inflorescence a cyme or flowers solitary. Hypanthium shallow, weakly concave; epicalyx lobes 5, similar to and alternating with the 5 sepals; petals usually 5; stamens 10–30; ovary superior, carpels 10–80, ovules 1 per carpel, styles surrounded by hypanthium rim. Fruit a head of 4–many achenes on surface of dry or spongy hypanthium."," perennial, rarely annual or biennial herbs or small shrubs ( victoria), prostrate or erect. ","annual biennial perennial","annual biennial perennial","herb shrub","herbs shrubs",,,,,"erect prostrate","erect prostrate"
"Epacris gunnii","Ascending to erect shrub to c. 1 m high. Branchlets puberulent to shortly villous. Leaves ascending to spreading or reflexed, concave, venation indistinct, broadly ovate, 2–6.5 mm long, 1.8–5.5 mm wide, glabrous; apex shortly acuminate, ± pungent, straight or somewhat incurved; margins minutely serrulate; base cordate or rarely almost obtuse-truncate; petiole 0.2–0.5 mm long. Flowers subsessile to pedicellate in axils along branches; bracts 12–21; sepals ovate to ovate-elliptic, 2.2–3 mm long, obtuse; corolla white, tube 1.2–2 mm long, shorter than the calyx, lobes 1.7–2.7, obtuse; anthers exserted or partly exserted; ovary glabrous, nectary scales truncate, style straight-sided, 0.4–1 mm long, glabrous. Flowers any month at lower elevations, Oct.–Feb. at higher elevations."," ascending to erect shrub to circa 1 m high. ",,,"shrub","shrub",,,,,"erect decumbent","erect ascending"
"Clematis leptophylla","Dioecious, woody climber or trailer, ascending to c. 5 m high. Leaves opposite; adult leaves usually triternate (with 18–36 leaflets); petioles often twining or twisting; ultimate leaflets linear to obovate, finally glabrous; margins often 3-lobed; terminal leaflet 0.5–1.5(–2.5) cm long, 1–3 mm wide. Flowers in short axillary or terminal panicles. Sepals white to pale yellow, oblong to narrowly ovate, c. 1–2 cm long, glabrous on upper surface, pubescent below; male flowers with anthers 0.5–1 mm long with no terminal appendage; female flowers usually with a few staminodes. Achenes flattened, ovate, 4–5 mm long, glabrous, margins thickened and warty; awn plumose, 3–5 cm long. Flowers Jun.–Aug. "," dioecious, woodyclimber or trailer, ascending to circa 5 m high. ",,,"climber_woody","woodyclimber",,,"dioecious","dioecious","decumbent","ascending"
"Goodia lotifolia","Shrub or slender tree to 4 m high; young branchlets soon glabrous. Leaflets obovate to obovate-cuneate or elliptic, the terminal one usually obovate, 10–30 mm long, 6–30 mm wide, glabrous or lower surface with scattered appressed hairs; petiole 5–30 mm long. Racemes 4–12 cm long; flowers 9–14 mm long; pedicels 3–12 mm long; calyx 3.5–7 mm long, glabrous or sparsely hairy, the 3 lower teeth usually as long as or longer than tube in mature flowers; petals bright yellow with red or brown markings. Pods obliquely ovate to oblong, 1.6–3.8 cm long, narrowed basally into a slender stipe; foot of aril 1.2–2.5 mm long. Flowers Sep.–Nov."," shrub or slender tree to 4 m high; ",,,"shrub tree","shrub tree",,,,,,
"Gonocarpus serpyllifolius","Perennial herb, erect or ascending, 10–25 cm tall; stems reddish, wiry, densely pubescent, hairs appressed. Leaves opposite, lanceolate to ovate-lanceolate, 5–10 mm long, 1–3 mm wide, virtually glabrous, margins thickened, with 2–4 minute teeth; petiole to 1 mm long; bracts opposite, sometimes becoming alternate above, ovate, 2–3 mm long, margins entire; bracteoles narrow-lanceolate, c. 1 mm long, brown, margins entire. Flowers sessile; sepals 0.7–0.8 mm long, margins slightly thickened, basal callus weak; petals red, 2.2–2.5 mm long; stamens 8, anthers 1.8–2 mm long; ovary ovoid, c. 1 mm long, reddish-grey, 8-ribbed, smooth between ribs, glabrous. Fruit 1–1.3 mm long, silver to purplish, usually with a metallic sheen. Flowers Dec.–Feb."," perennial herb, erect or ascending, 10–25 cm tall; ","perennial","perennial","herb","herb",,,,,"erect decumbent","erect ascending"
"Scaevola aemula","Decumbent or ascending herb to 50 cm high; stems coarsely hispid with yellowish appressed hairs. Leaves shortly petiolate, obovate, 1–9 cm long, 4–30 mm wide, obtuse or acute, both surfaces appressed-pubescent, margins (of at least the lower leaves) coarsely toothed. Flowers sessile, in terminal leafy or bracteate spikes to c. 24 cm long; bracteoles lanceolate, 4.5–8 mm long. Sepals connate at base, lobes triangular, c. 0.5 mm long, ciliate; corolla 16–25 mm long, appressed-pubescent outside, bearded inside, lilac to bright blue, rarely white, yellowish in throat, wings 1–1.5 mm wide; indusium depressed-obovate, with a posterior tuft of long purplish bristles and long white bristles around orifice. Fruit ovoid, 3–4 mm long, rugose, pubescent. Flowers mainly Sep.–Apr."," decumbent or ascending herb to 50 cm high; ",,,"herb","herb",,,,,"decumbent","decumbent ascending"
"Vittadinia muelleri","Perennial, 6–20(–30) cm high, several-stemmed from base, stems simple or branched; young stems glandular, with sparse or scattered, short, coarse spreading eglandular hairs. Leaves linear to narrow-ovate in outline, 8–30(–40) mm long, 1–8 mm wide, usually with 1–3 pairs of acute, narrow lobes, surfaces with scattered coarse simple hairs, mainly on margins and midribs, rarely glabrous; apex acute. Involucral bracts oblong, the longest 6–8 mm long, virtually glabrous, but margins often ciliate; ray florets purplish, ligules 1.5–2.5 mm long. Cypsela narrowly cuneate, 3.5–5 mm long, flattened, marginal ribs glabrous, facial ribs continuing to summit, faces evenly covered with inclined, blunt hairs mostly in grooves, glands absent; pappus bristles barbellate, the longest 5.5–7.5 mm long Flowers mostly Nov.–May."," perennial, 6–20(–30) cm high, several-stemmed from base, stems simple or branched; ","perennial","perennial",,,,,,,,
"Stuckenia","Perennial herbs, often rhizomatous. Leaves submerged; basal sheath united to the leaf with the distal part forming a ligule, auricles absent; lamina linear; apex subulate to obtuse. Inflorescence a few- to many-flowered spike, submerged. Anthers 4; pollen ± spherical. Carpels 3–5; sessile. Fruit with inner hard tissue remaining."," perennial herbs, often rhizomatous. ","perennial","perennial","herb","herbs",,,,,"rhizomatous","rhizomatous"
"Blechnum rupestre","Fronds clustered; sterile fronds 10–25 (rarely to 55) cm long, spreading, membranous; fertile fronds 15–40 cm long, erect, harsher. Stipe much shorter than lamina, usually pale, darker towards base, smooth; scales scattered, sessile, light brown and narrow. Lamina pinnate, mid-green; pinnae in lower half attached by midribs only, clearly separated, stalked, small, broadly oblong, apices rounded, bases often strongly lobed; pinnae in upper half sessile, much longer than broad, widened bases contiguous, close-set; pinnae near apex often fused into tail-like structure; pinnae on fertile fronds very narrow; areoles narrow, in a single row each side of midvein. Rachis smooth, pale, often with short hairs and few linear scales. Sori narrowly oblong, more than 1.5 mm long, in single row on each side of midvein, often becoming confluent.","  ",,,,,,,,,,
"Thelymitra pallidiflora","Flowering stem erect, straight, 15–45 cm tall, 1.3–3 mm diam., straw-coloured to purplish. Leaf linear to linear-lanceolate, attenuate, 10–25 cm long, 5–12 mm wide, thin-textured to fleshy, canaliculate, ribbed abaxially, sheathing at base, pale to dark green sometimes with a purplish base. Inflorescence 2–10-flowered, open. Sterile bracts usually 1, rarely 2. Pedicels of lower flowers often partially decurrent on rachis. Perianth segments lanceolate to ovate, 9–15(–21) mm long, white to very pale blue. Column 5–6.5 mm long, white or very pale blue at base; mid-lobe expanded into a hood over the anther, tubular, inflated, curving gently through c. 90 deg. yellow with a black to dark brown collar, apex usually deeply bilobed; lateral lobes converging, 1–1.7 mm long, digitiform, porrect at base then curved upwards, each with a toothbrush-like arrangement of white hairs terminating in front of the mid-lobe. Anther inserted about mid-way along column, shortly beaked. Flowers Oct.–Nov.","  ",,,,,,,,,,
"Comesperma defoliatum","Slender glabrous subshrub to c. 40 cm high; stems mostly unbranched, angled, smooth, arising annually from a short woody rhizome. Leaves absent or few toward base, linear to narrowly oblanceolate, 5–15 mm long, 1–2 mm wide. Flowers blue or purplish, in a terminal raceme; pedicels 2–4 mm long; sepals free, the outer 3 obovate, 3–4 mm long, the adaxial one slightly pouched at base, wings obovate, slightly to c. 1.5 times longer than outer sepals, keel pouched in the upper third, c. 3 mm long; upper petals oblong, shortly exceeding and united with keel for most of their length. Capsule obovate or obcordate, long-tapered to base, 6.5–8 mm long; seeds plumply ovoid, 1.5–2.5 mm long, shortly pubescent all over, with a coma of silky hairs c. 5 mm long mostly from the base. Flowers mostly Dec.–Mar."," slender glabrous subshrub to circa 40 cm high; ",,,"subshrub","subshrub",,,,,,
